FID,OBJECTID_1,SegmentID,street,boro,fromstreet,tostreet,onoffst,allclasses,instdate,moddate,comments,bikedir,lanecount,ft_facilit,tf_facilit
0,1,33547,9 AV,1,W 16 ST,W 31 ST,ON,I,2008-09-25,2008-09-25, ,L,1, ,Protected Path
1,2,22630,3 AV,3,DEAN ST,15 ST,ON,II,1980-07-01,1980-07-01, ,R,1,Standard, 
2,3,299123,ADAMS ST,3,FULTON ST,SANDS ST,ON,II,2006-06-01,2006-06-01, ,L,1, ,Standard
3,4,34170,W 39 ST,1,5 AV,8 AV,ON,III,2012-09-12,2012-09-12, ,R,1,Sharrows, 
4,5,43043,THROOP AV,3,FLUSHING AV,FULTON ST,ON,II,2003-06-01,2003-06-01, ,L,1, ,Standard
5,6,22547,HOYT ST,3,DOUGLASS ST,3 ST,ON,III,2010-06-01,2010-06-01, ,R,1,Sharrows, 
6,7,35845,W 51 ST,1,BROADWAY,5 AV,ON,II,2012-09-21,2012-09-21, ,R,1,Standard, 
7,8,196522,STATE RD,4,BEACH 193 ST,BEACH 169 ST,ON,II,1997-05-01,1997-05-01, ,L,1, ,Curbside
8,9,53,CONFERENCE HOUSE PARK GREENWAY,5,HYLAN BLVD,SWINNERTON ST,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
9,10,57,CONFERENCE HOUSE PARK GREENWAY,5,HYLAN BLVD,SWINNERTON ST,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
10,11,59,CONFERENCE HOUSE PARK GREENWAY,5,HYLAN BLVD,SWINNERTON ST,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
11,12,61,CONFERENCE HOUSE PARK GREENWAY,5,HYLAN BLVD,SWINNERTON ST,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
12,13,64,CONFERENCE HOUSE PARK GREENWAY,5,HYLAN BLVD,SWINNERTON ST,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
13,14,139,CONFERENCE HOUSE PARK GREENWAY,5,HYLAN BLVD,SWINNERTON ST,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
14,15,141,CONFERENCE HOUSE PARK GREENWAY,5,HYLAN BLVD,SWINNERTON ST,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
15,16,145,CONFERENCE HOUSE PARK GREENWAY,5,HYLAN BLVD,SWINNERTON ST,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
16,17,157,CONFERENCE HOUSE PARK GREENWAY,5,HYLAN BLVD,SWINNERTON ST,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
17,18,233,CONFERENCE HOUSE PARK GREENWAY,5,HYLAN BLVD,SWINNERTON ST,OFF,I,2005-06-01,2005-06-01, ,2,2,Greenway,Greenway
18,19,735,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Standard,Standard
19,20,812,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
20,21,816,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
21,22,841,MOUNT LORETTO GREENWAY,5,HYLAN BLVD,HYLAN BLVD,OFF,I,1900-01-01,1900-01-01, ,2,2,Greenway,Greenway
22,23,844,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
23,24,847,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
24,25,850,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
25,26,878,MOUNT LORETTO GREENWAY,5,HYLAN BLVD,HYLAN BLVD,OFF,I,1900-01-01,1900-01-01, ,2,2,Greenway,Greenway
26,27,879,MOUNT LORETTO GREENWAY,5,HYLAN BLVD,HYLAN BLVD,OFF,I,1900-01-01,1900-01-01, ,2,2,Greenway,Greenway
27,28,880,MOUNT LORETTO GREENWAY,5,HYLAN BLVD,HYLAN BLVD,OFF,I,1900-01-01,1900-01-01, ,2,2,Greenway,Greenway
28,29,881,MOUNT LORETTO GREENWAY,5,HYLAN BLVD,HYLAN BLVD,OFF,I,1900-01-01,1900-01-01, ,2,2,Greenway,Greenway
29,30,882,MOUNT LORETTO GREENWAY,5,HYLAN BLVD,HYLAN BLVD,OFF,I,1900-01-01,1900-01-01, ,2,2,Greenway,Greenway
30,31,1041,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
31,32,1046,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
32,33,1089,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Standard
33,34,1128,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Standard
34,35,1138,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Standard
35,36,1148,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
36,37,1151,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Standard
37,38,2579,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
38,39,2581,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
39,40,2583,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
40,41,2586,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
41,42,2896,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Standard,Standard
42,43,2898,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Standard,Standard
43,44,2906,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Standard,Standard
44,45,2907,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Standard,Curbside
45,46,2908,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Standard,Curbside
46,47,3018,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
47,48,3022,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
48,49,3023,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
49,50,3131,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
50,51,3137,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Standard
51,52,3256,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Standard,Curbside
52,53,3259,HYLAN BLVD,5,PAGE AV,POILLON AV,ON,II,2007-10-01,2007-10-01, ,2,2,Curbside,Curbside
53,54,4871,ARLENE ST,5,LAMBERTS LA,SIGNS RD,ON,II,2005-11-01,2005-11-01, ,2,2,Standard,Standard
54,55,4917,STEINWAY AVE,5,NOME AVE,TRAVIS AVE,ON,III,2016-07-15,2016-07-15, ,2,2,Sharrows,Sharrows
55,56,4975,ARLENE ST,5,LAMBERTS LA,SIGNS RD,ON,II,2005-11-01,2005-11-01, ,2,2,Standard,Standard
56,57,4980,ARLENE ST,5,LAMBERTS LA,SIGNS RD,ON,II,2005-11-01,2005-11-01, ,2,2,Standard,Standard
57,58,5039,STEINWAY AVE,5,NOME AVE,TRAVIS AVE,ON,III,2016-07-15,2016-07-15, ,2,2,Sharrows,Sharrows
58,59,5044,TRAVIS AVE,5,STEINWAY AVE,KELLY BLVD,ON,II,2016-07-08,2016-07-08, ,2,2,Standard,Standard
59,60,5050,STEINWAY AVE,5,NOME AVE,TRAVIS AVE,ON,III,2016-07-15,2016-07-15, ,2,2,Sharrows,Sharrows
60,61,5052,TRAVIS AVE,5,STEINWAY AVE,KELLY BLVD,ON,II,2016-07-08,2016-07-08, ,2,2,Standard,Standard
61,62,5362,ARLENE ST,5,LAMBERTS LA,SIGNS RD,ON,II,2005-11-01,2005-11-01, ,2,2,Standard,Standard
62,63,5365,ARLENE ST,5,LAMBERTS LA,SIGNS RD,ON,II,2005-11-01,2005-11-01, ,2,2,Standard,Standard
63,64,5367,ARLENE ST,5,LAMBERTS LA,SIGNS RD,ON,II,2005-11-01,2005-11-01, ,2,2,Standard,Standard
64,65,5368,ARLENE ST,5,LAMBERTS LA,SIGNS RD,ON,II,2005-11-01,2005-11-01, ,2,2,Standard,Standard
65,66,5388,ARLENE ST,5,LAMBERTS LA,SIGNS RD,ON,II,2005-11-01,2005-11-01, ,2,2,Standard,Standard
66,67,5397,ARLENE ST,5,LAMBERTS LA,SIGNS RD,ON,II,2005-11-01,2005-11-01, ,2,2,Standard,Standard
67,68,5402,ARLENE ST,5,LAMBERTS LA,SIGNS RD,ON,II,2005-11-01,2005-11-01, ,2,2,Standard,Standard
68,69,5405,ARLENE ST,5,LAMBERTS LA,SIGNS RD,ON,II,2005-11-01,2005-11-01, ,2,2,Standard,Standard
69,70,5407,ARLENE ST,5,LAMBERTS LA,SIGNS RD,ON,II,2005-11-01,2005-11-01, ,2,2,Standard,Standard
70,71,7507,S RAILROAD AV,5,GUYON AV,BEACH AV,ON,III,2009-06-01,2009-06-01, ,2,2,Sharrows,Sharrows
71,72,7515,S RAILROAD AV,5,GUYON AV,BEACH AV,ON,III,2009-06-01,2009-06-01, ,2,2,Sharrows,Sharrows
72,73,7527,S RAILROAD AV,5,GUYON AV,BEACH AV,ON,III,2009-06-01,2009-06-01, ,2,2,Sharrows,Sharrows
73,74,7642,TRAVIS AVE,5,STEINWAY AVE,KELLY BLVD,ON,II,2016-07-08,2016-07-08, ,2,2,Standard,Standard
74,75,7646,TRAVIS AVE,5,STEINWAY AVE,KELLY BLVD,ON,II,2016-07-08,2016-07-08, ,2,2,Standard,Standard
75,76,7648,TRAVIS AVE,5,STEINWAY AVE,KELLY BLVD,ON,II,2016-07-08,2016-07-08, ,2,2,Standard,Standard
76,77,7720,TRAVIS AVE,5,STEINWAY AVE,KELLY BLVD,ON,II,2016-07-08,2016-07-08, ,2,2,Standard,Standard
77,78,7728,TRAVIS AVE,5,STEINWAY AVE,KELLY BLVD,ON,II,2016-07-08,2016-07-08, ,2,2,Standard,Standard
78,79,7731,KELLY BLVD,5,TRAVIS AVE,ROCKLAND AVE,ON,II,2016-07-08,2016-07-08, ,2,2,Standard,Standard
79,80,7815,KELLY BLVD,5,TRAVIS AVE,ROCKLAND AVE,ON,II,2016-07-08,2016-07-08, ,2,2,Standard,Standard
80,81,7816,ROCKLAND AVE,5,KELLY BLVD,MC DIVITT AVE,ON,"III,II",2016-07-15,2016-07-15, ,2,2,Sharrows,Standard
81,82,7837,ROCKLAND AVE,5,MC DIVITT AVE,FOREST HILL RD,ON,II,2016-07-15,2016-07-15, ,2,2,Standard,Standard
82,83,7843,ROCKLAND AVE,5,MC DIVITT AVE,FOREST HILL RD,ON,II,2016-07-15,2016-07-15, ,2,2,Standard,Standard
83,84,7847,ROCKLAND AVE,5,MC DIVITT AVE,FOREST HILL RD,ON,II,2016-07-15,2016-07-15, ,2,2,Standard,Standard
84,85,9809,CLOVE ROAD,5,RICHMOND TERR,FOREST AVE,ON,III,2015-09-11,2015-09-11, ,2,2,Sharrows,Sharrows
85,86,9811,CLOVE ROAD,5,RICHMOND TERR,FOREST AVE,ON,III,2015-09-11,2015-09-11, ,2,2,Sharrows,Sharrows
86,87,10186,CLOVE ROAD,5,RICHMOND TERR,FOREST AVE,ON,III,2015-09-11,2015-09-11, ,2,2,Sharrows,Sharrows
87,88,10187,CLOVE ROAD,5,RICHMOND TERR,FOREST AVE,ON,III,2015-09-11,2015-09-11, ,2,2,Sharrows,Sharrows
88,89,10198,CLOVE ROAD,5,RICHMOND TERR,FOREST AVE,ON,III,2015-09-11,2015-09-11, ,2,2,Sharrows,Sharrows
89,90,10312,S RAILROAD AV,5,GUYON AV,BEACH AV,ON,III,2009-06-01,2009-06-01, ,2,2,Sharrows,Sharrows
90,91,10315,S RAILROAD AV,5,GUYON AV,BEACH AV,ON,III,2009-06-01,2009-06-01, ,2,2,Sharrows,Sharrows
91,92,10317,S RAILROAD AV,5,GUYON AV,BEACH AV,ON,III,2009-06-01,2009-06-01, ,2,2,Sharrows,Sharrows
92,93,10319,S RAILROAD AV,5,GUYON AV,BEACH AV,ON,III,2009-06-01,2009-06-01, ,2,2,Sharrows,Sharrows
93,94,10338,S RAILROAD AV,5,GUYON AV,BEACH AV,ON,III,2009-06-01,2009-06-01, ,2,2,Sharrows,Sharrows
